pr,"	Year", Month, Country, ISO3, ISO2
0,1963,9,QAT,,
0.11641,1963,10,QAT,,
10.7644,1963,11,QAT,,
3.61756,1963,12,QAT,,
70.8621,1964,1,QAT,,
38.5832,1964,2,QAT,,
8.76534,1964,3,QAT,,
2.31237,1964,4,QAT,,
0.07836,1964,5,QAT,,
0.14983,1964,6,QAT,,
0.07058,1964,7,QAT,,
0.10187,1964,8,QAT,,
0,1964,9,QAT,,
0,1964,10,QAT,,
0,1964,11,QAT,,
50.5311,1964,12,QAT,,
7.88722,1965,1,QAT,,
1.39595,1965,2,QAT,,
0.46141,1965,3,QAT,,
57.4784,1965,4,QAT,,
0,1965,5,QAT,,
0.14983,1965,6,QAT,,
0.07058,1965,7,QAT,,
0.10187,1965,8,QAT,,
0,1965,9,QAT,,
0,1965,10,QAT,,
11.9882,1965,11,QAT,,
0.01833,1965,12,QAT,,
0.63474,1966,1,QAT,,
35.4725,1966,2,QAT,,
0.12412,1966,3,QAT,,
6.59667,1966,4,QAT,,
0.04373,1966,5,QAT,,
0.14983,1966,6,QAT,,
0.07058,1966,7,QAT,,
0.04396,1966,8,QAT,,
0,1966,9,QAT,,
0.01148,1966,10,QAT,,
0.00513,1966,11,QAT,,
0.08338,1966,12,QAT,,
0.57496,1967,1,QAT,,
3.62541,1967,2,QAT,,
5.99166,1967,3,QAT,,
15.5432,1967,4,QAT,,
2.04377,1967,5,QAT,,
0.14983,1967,6,QAT,,
0.07058,1967,7,QAT,,
0.04396,1967,8,QAT,,
0,1967,9,QAT,,
0,1967,10,QAT,,
1.62233,1967,11,QAT,,
0.15613,1967,12,QAT,,
0.08432,1968,1,QAT,,
45.3684,1968,2,QAT,,
2.02124,1968,3,QAT,,
25.9802,1968,4,QAT,,
0.73967,1968,5,QAT,,
0.14983,1968,6,QAT,,
0.07058,1968,7,QAT,,
0.04396,1968,8,QAT,,
0,1968,9,QAT,,
0,1968,10,QAT,,
1.91054,1968,11,QAT,,
3.0511,1968,12,QAT,,
84.9032,1969,1,QAT,,
4.33176,1969,2,QAT,,
1.13695,1969,3,QAT,,
27.5506,1969,4,QAT,,
0.52745,1969,5,QAT,,
0.14983,1969,6,QAT,,
0.07058,1969,7,QAT,,
1.06257,1969,8,QAT,,
0,1969,9,QAT,,
0.08427,1969,10,QAT,,
2.90308,1969,11,QAT,,
0.01833,1969,12,QAT,,
9.20838,1970,1,QAT,,
0.14487,1970,2,QAT,,
1.37153,1970,3,QAT,,
0.05162,1970,4,QAT,,
0.00831,1970,5,QAT,,
0.14983,1970,6,QAT,,
0.07058,1970,7,QAT,,
0.10187,1970,8,QAT,,
0,1970,9,QAT,,
0.00316,1970,10,QAT,,
0,1970,11,QAT,,
0.15939,1970,12,QAT,,
2.21851,1971,1,QAT,,
5.62015,1971,2,QAT,,
1.06692,1971,3,QAT,,
17.2595,1971,4,QAT,,
0.04458,1971,5,QAT,,
0.14983,1971,6,QAT,,
0.07058,1971,7,QAT,,
0.04396,1971,8,QAT,,
0,1971,9,QAT,,
0.01781,1971,10,QAT,,
0.69492,1971,11,QAT,,
1.41803,1971,12,QAT,,
8.68366,1972,1,QAT,,
7.68616,1972,2,QAT,,
48.8187,1972,3,QAT,,
10.9943,1972,4,QAT,,
0.1147,1972,5,QAT,,
0.50416,1972,6,QAT,,
0.07058,1972,7,QAT,,
0.04396,1972,8,QAT,,
0,1972,9,QAT,,
0.00316,1972,10,QAT,,
2.1185,1972,11,QAT,,
10.2886,1972,12,QAT,,
15.8691,1973,1,QAT,,
0.65038,1973,2,QAT,,
1.33489,1973,3,QAT,,
0.83988,1973,4,QAT,,
0.17716,1973,5,QAT,,
0.14983,1973,6,QAT,,
0.07374,1973,7,QAT,,
